distance_m,optimal_v_mps,optimal_angle_deg,search_hits,search_trials,eval_hits,eval_trials,eval_accuracy
1.1,5.647,75.000,625,700,884,1000,0.884000
1.2,5.604,74.650,673,700,952,1000,0.952000
1.3,5.570,73.676,684,700,973,1000,0.973000
1.4,5.591,71.896,690,700,982,1000,0.982000
1.5,5.634,70.297,692,700,989,1000,0.989000
1.6,5.671,69.580,695,700,987,1000,0.987000
1.7,5.728,68.361,696,700,990,1000,0.990000
1.8,5.790,67.543,696,700,990,1000,0.990000
1.9,5.894,65.093,700,700,1000,1000,1.000000
2.0,5.958,64.390,700,700,1000,1000,1.000000
2.1,6.035,63.812,700,700,1000,1000,1.000000
2.2,6.112,63.277,700,700,1000,1000,1.000000
2.3,6.170,62.604,700,700,1000,1000,1.000000
2.4,6.228,61.951,700,700,1000,1000,1.000000
2.5,6.291,61.358,700,700,1000,1000,1.000000
2.6,6.367,60.949,700,700,1000,1000,1.000000
2.7,6.445,60.580,699,700,1000,1000,1.000000
2.8,6.513,60.115,700,700,1000,1000,1.000000
2.9,6.620,60.100,700,700,1000,1000,1.000000
3.0,6.688,60.000,699,700,1000,1000,1.000000
3.1,6.732,60.306,696,700,997,1000,0.997000
3.2,6.788,60.435,696,700,991,1000,0.991000
3.3,6.855,60.210,696,700,990,1000,0.990000
3.4,6.942,60.107,696,700,990,1000,0.990000
3.5,7.034,60.050,696,700,990,1000,0.990000
3.6,7.093,60.000,695,700,987,1000,0.987000
3.7,7.165,60.000,694,700,984,1000,0.984000
3.8,7.233,60.000,693,700,981,1000,0.981000
3.9,7.289,60.020,690,700,976,1000,0.976000
4.0,7.361,60.020,689,700,969,1000,0.969000
4.1,7.446,60.000,689,700,968,1000,0.968000
4.2,7.500,60.000,686,700,965,1000,0.965000
4.3,7.572,60.000,682,700,963,1000,0.963000
4.4,7.636,60.000,675,700,954,1000,0.954000
4.5,7.699,60.000,670,700,944,1000,0.944000
4.6,7.763,60.000,667,700,941,1000,0.941000
4.7,7.833,60.000,659,700,936,1000,0.936000
4.8,7.882,60.000,654,700,919,1000,0.919000
4.9,7.957,60.000,649,700,915,1000,0.915000
5.0,8.034,60.020,645,700,908,1000,0.908000
5.1,8.098,60.000,634,700,899,1000,0.899000
5.2,8.136,60.000,627,700,891,1000,0.891000
5.3,8.246,60.000,623,700,875,1000,0.875000
5.4,8.279,60.000,616,700,877,1000,0.877000
5.5,8.359,60.000,611,700,864,1000,0.864000
5.6,8.428,60.000,609,700,859,1000,0.859000
5.7,8.500,60.000,600,700,852,1000,0.852000
5.8,8.573,60.000,592,700,843,1000,0.843000
5.9,8.642,60.000,587,700,834,1000,0.834000
6.0,8.706,60.000,581,700,825,1000,0.825000
6.1,8.726,60.000,573,700,817,1000,0.817000
6.2,8.775,60.000,568,700,800,1000,0.800000
6.3,8.841,60.000,566,700,793,1000,0.793000
6.4,8.900,60.000,563,700,787,1000,0.787000
6.5,8.960,60.000,554,700,784,1000,0.784000
6.6,9.036,60.000,550,700,773,1000,0.773000
6.7,9.116,60.050,546,700,768,1000,0.768000
6.8,9.165,60.000,544,700,764,1000,0.764000
6.9,9.226,60.020,539,700,760,1000,0.760000
7.0,9.295,60.020,530,700,749,1000,0.749000
7.1,9.336,60.010,528,700,742,1000,0.742000
7.2,9.390,60.000,524,700,737,1000,0.737000
7.3,9.450,60.000,518,700,731,1000,0.731000
7.4,9.504,60.000,514,700,725,1000,0.725000
7.5,9.573,60.020,506,700,715,1000,0.715000
7.6,9.627,60.000,501,700,711,1000,0.711000
7.7,9.680,60.000,496,700,705,1000,0.705000
7.8,9.763,60.000,494,700,688,1000,0.688000
7.9,9.820,60.030,488,700,682,1000,0.682000
8.0,9.873,60.020,484,700,677,1000,0.677000
